RESUMER ZONES HYDROTEL VERSION;4.3.1.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE (ratio); ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
315;SOUS-BASSIN;106.072510;0.014443;2;593;0.237200;-74.76491;45.24665
316;SOUS-BASSIN;105.557747;0.017143;8;3039;1.215600;-74.77165;45.25428
317;SOUS-BASSIN;103.936172;0.019538;2;376;0.150400;-74.76139;45.24385
318;SOUS-BASSIN;100.680000;0.012047;5;75;0.030000;-74.75833;45.24550
319;SOUS-BASSIN;101.903397;0.016812;5;383;0.153200;-74.75711;45.24304
320;SOUS-BASSIN;87.538025;0.040106;2;355;0.142000;-74.71786;45.29993
321;SOUS-BASSIN;87.669357;0.029563;5;868;0.347200;-74.71463;45.30000
322;SOUS-BASSIN;92.344574;0.027524;3;3233;1.293200;-74.71933;45.28848
323;SOUS-BASSIN;86.665398;0.036643;8;1052;0.420800;-74.69673;45.30330
324;SOUS-BASSIN;88.548759;0.026718;4;3271;1.308400;-74.68660;45.29921
325;SOUS-BASSIN;87.988892;0.033649;1;630;0.252000;-74.70244;45.29651
326;SOUS-BASSIN;90.306450;0.024413;3;1054;0.421600;-74.70296;45.29172
327;SOUS-BASSIN;91.200798;0.024032;8;3003;1.201200;-74.70863;45.29631
328;SOUS-BASSIN;91.380951;0.026475;2;924;0.369600;-74.69830;45.29006
329;SOUS-BASSIN;88.693855;0.025353;5;895;0.358000;-74.69484;45.29437
330;SOUS-BASSIN;89.155174;0.029111;3;58;0.023200;-74.69141;45.28711
331;SOUS-BASSIN;90.781746;0.021175;6;1315;0.526000;-74.68891;45.29085
332;SOUS-BASSIN;91.842972;0.027142;4;121;0.048400;-74.68931;45.28576
333;SOUS-BASSIN;91.621849;0.034119;1;238;0.095200;-74.69526;45.28615
334;SOUS-BASSIN;89.438774;0.035226;5;98;0.039200;-74.69259;45.28609
335;SOUS-BASSIN;89.704224;0.038416;8;71;0.028400;-74.69503;45.28426
336;SOUS-BASSIN;88.567566;0.033835;3;74;0.029600;-74.69389;45.28350
337;SOUS-BASSIN;93.885002;0.032751;7;400;0.160000;-74.69982;45.28565
338;SOUS-BASSIN;90.528793;0.030565;3;191;0.076400;-74.69908;45.28307
339;SOUS-BASSIN;94.647850;0.040641;8;372;0.148800;-74.70577;45.28438
340;SOUS-BASSIN;94.852524;0.026746;3;773;0.309200;-74.70786;45.27966
341;SOUS-BASSIN;97.146538;0.020445;1;1358;0.543200;-74.71283;45.28271
342;SOUS-BASSIN;89.967216;0.025560;1;122;0.048800;-74.70248;45.28198
343;SOUS-BASSIN;92.531601;0.037188;4;269;0.107600;-74.70122;45.28072
344;SOUS-BASSIN;96.480392;0.023413;2;204;0.081600;-74.70483;45.27925
345;SOUS-BASSIN;91.074532;0.033232;1;161;0.064400;-74.69718;45.28146
346;SOUS-BASSIN;92.180687;0.026155;4;321;0.128400;-74.69466;45.28042
347;SOUS-BASSIN;91.671501;0.021459;3;207;0.082800;-74.69807;45.27869
348;SOUS-BASSIN;91.221786;0.022055;2;514;0.205600;-74.69033;45.28045
349;SOUS-BASSIN;91.481483;0.027746;5;297;0.118800;-74.68940;45.28356
350;SOUS-BASSIN;91.917908;0.027695;5;402;0.160800;-74.68573;45.28095
351;SOUS-BASSIN;85.022583;0.025583;8;9566;3.826400;-74.66708;45.30395
352;SOUS-BASSIN;81.891838;0.025470;4;7877;3.150800;-74.65252;45.30950
353;SOUS-BASSIN;92.229088;0.034155;2;1100;0.440000;-74.67061;45.28660
354;SOUS-BASSIN;80.717529;0.027223;1;1848;0.739200;-74.63456;45.31506
355;SOUS-BASSIN;78.794403;0.031928;4;1537;0.614800;-74.62943;45.31325
356;LAC;82.038811;0.006924;3;773;0.309200;-74.63968;45.30600
357;SOUS-BASSIN;85.465797;0.022525;8;614;0.245600;-74.64233;45.30839
358;SOUS-BASSIN;84.650200;0.023902;3;506;0.202400;-74.64108;45.30078
359;SOUS-BASSIN;84.738045;0.021261;4;439;0.175600;-74.63518;45.30571
360;SOUS-BASSIN;86.062195;0.015750;1;2846;1.138400;-74.64046;45.29391
361;SOUS-BASSIN;89.013916;0.023704;4;4384;1.753600;-74.63787;45.28983
362;LAC;88.050514;0.006940;3;2811;1.124400;-74.65945;45.27703
363;SOUS-BASSIN;88.000000;0.006681;3;24;0.009600;-74.65565;45.27130
364;SOUS-BASSIN;88.000000;0.002500;6;30;0.012000;-74.66321;45.27555
365;SOUS-BASSIN;88.000000;0.002500;2;41;0.016400;-74.66456;45.27097
366;SOUS-BASSIN;88.000000;0.002500;6;112;0.044800;-74.65906;45.27219
367;SOUS-BASSIN;91.594963;0.022769;8;3496;1.398400;-74.66759;45.28030
368;SOUS-BASSIN;91.045685;0.017706;4;8296;3.318400;-74.65284;45.27086
369;SOUS-BASSIN;88.000000;0.002500;8;16;0.006400;-74.66659;45.27167
370;SOUS-BASSIN;89.903740;0.025806;8;374;0.149600;-74.67224;45.27270
371;SOUS-BASSIN;89.829178;0.011803;3;562;0.224800;-74.67318;45.26834
372;SOUS-BASSIN;90.899651;0.018128;7;2003;0.801200;-74.68119;45.27637
373;SOUS-BASSIN;88.147919;0.004824;3;649;0.259600;-74.68204;45.27255
374;LAC;89.000000;0.002705;3;219;0.087600;-74.69044;45.27218
375;SOUS-BASSIN;91.023529;0.014258;8;425;0.170000;-74.69186;45.27580
376;SOUS-BASSIN;91.451218;0.026534;3;1066;0.426400;-74.69162;45.26922
377;SOUS-BASSIN;91.530403;0.024918;6;296;0.118400;-74.69496;45.27546
378;SOUS-BASSIN;91.415359;0.019480;1;573;0.229200;-74.69772;45.27357
379;SOUS-BASSIN;94.857880;0.022550;1;774;0.309600;-74.70280;45.27579
380;SOUS-BASSIN;91.972435;0.029721;8;1306;0.522400;-74.68593;45.26702
381;SOUS-BASSIN;92.274551;0.023205;4;1945;0.778000;-74.68099;45.26417
382;LAC;88.798508;0.009986;2;9782;3.912800;-74.70975;45.25411
383;SOUS-BASSIN;88.466667;0.013367;3;75;0.030000;-74.70493;45.25582
384;SOUS-BASSIN;95.672028;0.018827;1;20072;8.028800;-74.72675;45.25088
385;SOUS-BASSIN;90.214531;0.029850;7;289;0.115600;-74.70306;45.26615
386;SOUS-BASSIN;92.455879;0.035780;6;272;0.108800;-74.69535;45.26456
387;SOUS-BASSIN;90.721558;0.028678;8;334;0.133600;-74.71041;45.26189
388;SOUS-BASSIN;93.913246;0.027038;6;1291;0.516400;-74.71654;45.26682
389;SOUS-BASSIN;94.252846;0.027392;1;1582;0.632800;-74.72032;45.26511
390;SOUS-BASSIN;99.736740;0.012219;8;1037;0.414800;-74.72554;45.27479
391;SOUS-BASSIN;93.739609;0.023778;6;1083;0.433200;-74.70691;45.27148
392;SOUS-BASSIN;94.005081;0.029582;1;1772;0.708800;-74.71164;45.26856
393;SOUS-BASSIN;98.903740;0.016990;1;1444;0.577600;-74.71845;45.27726
394;SOUS-BASSIN;91.040543;0.019474;5;518;0.207200;-74.69796;45.26860
395;SOUS-BASSIN;90.533836;0.048756;1;133;0.053200;-74.70060;45.26758
396;SOUS-BASSIN;93.529732;0.031533;8;185;0.074000;-74.70171;45.27103
397;SOUS-BASSIN;85.240372;0.015892;8;2908;1.163200;-74.65333;45.30054
398;SOUS-BASSIN;86.486069;0.021669;4;3123;1.249200;-74.65138;45.29411
399;SOUS-BASSIN;89.457253;0.031512;3;807;0.322800;-74.66408;45.28711
400;SOUS-BASSIN;76.927063;0.020001;4;9447;3.778800;-74.57743;45.33148
401;SOUS-BASSIN;75.267853;0.017979;7;19746;7.898400;-74.57331;45.34684
402;SOUS-BASSIN;77.089996;0.016400;5;500;0.200000;-74.56250;45.34050
403;SOUS-BASSIN;82.110077;0.031740;8;4624;1.849600;-74.61758;45.29737
404;SOUS-BASSIN;85.550682;0.025591;4;8317;3.326800;-74.61244;45.29102
405;SOUS-BASSIN;92.524147;0.029099;3;5260;2.104000;-74.63225;45.27728
406;SOUS-BASSIN;82.301132;0.030572;1;4244;1.697600;-74.59423;45.29321
407;SOUS-BASSIN;74.107018;0.021206;3;2579;1.031600;-74.58010;45.29020
408;SOUS-BASSIN;89.625664;0.023522;2;11169;4.467600;-74.60411;45.27854
409;SOUS-BASSIN;74.500664;0.032041;8;3761;1.504400;-74.55336;45.29321
410;SOUS-BASSIN;75.186447;0.027834;4;6034;2.413600;-74.54514;45.28889
411;SOUS-BASSIN;77.037880;0.024110;2;1188;0.475200;-74.56101;45.28054
412;SOUS-BASSIN;78.704979;0.029788;5;8518;3.407200;-74.51120;45.31972
413;SOUS-BASSIN;73.923325;0.029047;8;4643;1.857200;-74.52088;45.31851
414;SOUS-BASSIN;77.116631;0.032638;7;926;0.370400;-74.51986;45.33785
415;SOUS-BASSIN;78.936363;0.032665;3;770;0.308000;-74.51641;45.33266
416;SOUS-BASSIN;79.597801;0.025510;3;15204;6.081600;-74.53829;45.33076
417;SOUS-BASSIN;80.167633;0.034703;4;1211;0.484400;-74.50123;45.33635
418;SOUS-BASSIN;80.860123;0.033768;7;2059;0.823600;-74.50777;45.34026
419;SOUS-BASSIN;84.758980;0.020346;4;4203;1.681200;-74.49001;45.33803
420;SOUS-BASSIN;68.052086;0.026836;1;96;0.038400;-74.49791;45.30043
421;SOUS-BASSIN;71.677216;0.019908;4;2844;1.137600;-74.49234;45.29576
422;SOUS-BASSIN;72.155655;0.025558;3;1741;0.696400;-74.50193;45.29291
423;SOUS-BASSIN;75.032509;0.027787;3;1045;0.418000;-74.45003;45.31485
424;SOUS-BASSIN;69.898277;0.031580;6;365;0.146000;-74.44881;45.31794
425;SOUS-BASSIN;77.185051;0.026361;3;1118;0.447200;-74.44243;45.31315
426;SOUS-BASSIN;62.032169;0.029872;8;450;0.180000;-74.37762;45.32818
427;SOUS-BASSIN;63.940422;0.014523;1;4193;1.677200;-74.38629;45.32523
428;SOUS-BASSIN;61.545666;0.016000;1;71;0.028400;-74.37791;45.32661
429;SOUS-BASSIN;56.239700;0.049278;1;103;0.041200;-74.34977;45.31797
430;SOUS-BASSIN;53.783844;0.061153;4;86;0.034400;-74.34798;45.31742
431;SOUS-BASSIN;57.067028;0.035565;8;69;0.027600;-74.35108;45.31711
432;SOUS-BASSIN;56.820461;0.023301;2;166;0.066400;-74.35055;45.31441
433;SOUS-BASSIN;65.689346;0.016174;8;17744;7.097600;-74.40497;45.31633
434;SOUS-BASSIN;59.309139;0.018109;2;1686;0.674400;-74.36205;45.31478
435;SOUS-BASSIN;61.990101;0.010339;2;1882;0.752800;-74.37704;45.31298
436;SOUS-BASSIN;57.892723;0.025321;1;87;0.034800;-74.35385;45.31448
437;SOUS-BASSIN;57.337376;0.045927;4;109;0.043600;-74.35240;45.31407
438;SOUS-BASSIN;63.118786;0.013943;2;11122;4.448800;-74.38476;45.30532
439;SOUS-BASSIN;57.515858;0.010174;2;234;0.093600;-74.34885;45.31340
440;SOUS-BASSIN;57.483116;0.012193;5;282;0.112800;-74.34564;45.31541
441;SOUS-BASSIN;58.023399;0.005633;2;601;0.240400;-74.34895;45.31120
442;SOUS-BASSIN;57.437679;0.013643;6;448;0.179200;-74.33606;45.32178
443;SOUS-BASSIN;56.873562;0.017263;8;227;0.090800;-74.33862;45.32027
444;SOUS-BASSIN;57.942532;0.008206;8;88;0.035200;-74.33871;45.32327
445;SOUS-BASSIN;57.133705;0.003907;8;897;0.358800;-74.33998;45.31151
446;SOUS-BASSIN;56.577518;0.005119;4;323;0.129200;-74.33721;45.30979
447;SOUS-BASSIN;57.249691;0.004026;8;474;0.189600;-74.34426;45.30870
448;SOUS-BASSIN;55.207947;0.007592;2;410;0.164000;-74.32524;45.30795
449;SOUS-BASSIN;54.558792;0.013382;5;135;0.054000;-74.32180;45.30861
450;SOUS-BASSIN;55.240177;0.004611;8;339;0.135600;-74.32472;45.30612
451;SOUS-BASSIN;58.872974;0.005522;8;9696;3.878400;-74.33225;45.33284
452;SOUS-BASSIN;54.310715;0.019897;1;477;0.190800;-74.31235;45.31275
453;SOUS-BASSIN;56.787773;0.006310;8;3200;1.280000;-74.32009;45.32204
454;SOUS-BASSIN;54.516388;0.005409;5;795;0.318000;-74.30061;45.31485
455;SOUS-BASSIN;54.834240;0.006153;8;1312;0.524800;-74.30272;45.31576
456;SOUS-BASSIN;56.588253;0.004664;8;2242;0.896800;-74.30759;45.32597
457;SOUS-BASSIN;53.332378;0.004844;6;1188;0.475200;-74.29354;45.30860
458;SOUS-BASSIN;53.551407;0.009184;8;2214;0.885600;-74.29681;45.30548
459;SOUS-BASSIN;54.219269;0.003707;8;175;0.070000;-74.30001;45.31184
460;SOUS-BASSIN;50.907967;0.012013;7;156;0.062400;-74.29690;45.29305
461;SOUS-BASSIN;50.862572;0.012780;2;318;0.127200;-74.29742;45.29201
462;SOUS-BASSIN;53.698971;0.006423;8;3995;1.598000;-74.31208;45.30078
463;SOUS-BASSIN;51.078537;0.006957;7;1403;0.561200;-74.28637;45.29552
464;SOUS-BASSIN;49.057545;0.030557;1;28;0.011200;-74.28652;45.29112
465;SOUS-BASSIN;50.687153;0.011262;7;63;0.025200;-74.28791;45.29295
466;SOUS-BASSIN;50.144104;0.003533;8;1478;0.591200;-74.28920;45.27848
467;SOUS-BASSIN;49.787216;0.003718;4;350;0.140000;-74.28455;45.27712
468;SOUS-BASSIN;50.267849;0.007031;1;78;0.031200;-74.29204;45.27412
469;SOUS-BASSIN;49.048103;0.008485;7;136;0.054400;-74.27347;45.28000
470;SOUS-BASSIN;49.366131;0.006396;2;907;0.362800;-74.28008;45.27693
471;SOUS-BASSIN;49.312286;0.005842;8;77;0.030800;-74.27597;45.28019
472;SOUS-BASSIN;49.793377;0.004731;8;2382;0.952800;-74.28766;45.27313
473;SOUS-BASSIN;49.568264;0.004843;2;4244;1.697600;-74.28624;45.26910
474;SOUS-BASSIN;56.544926;0.007629;8;23948;9.579200;-74.34925;45.28822
475;SOUS-BASSIN;48.868198;0.004085;1;598;0.239200;-74.26116;45.27068
476;SOUS-BASSIN;48.345345;0.006689;4;263;0.105200;-74.25899;45.26971
477;SOUS-BASSIN;48.894375;0.006638;3;51;0.020400;-74.26113;45.26584
478;SOUS-BASSIN;47.997467;0.005333;1;290;0.116000;-74.25720;45.26869
479;SOUS-BASSIN;47.391876;0.007398;4;75;0.030000;-74.25553;45.26804
480;SOUS-BASSIN;47.939053;0.007666;6;24111;9.644400;-74.26065;45.25874
481;SOUS-BASSIN;47.429474;0.013183;1;100;0.040000;-74.25458;45.26792
482;SOUS-BASSIN;47.477749;0.011690;5;232;0.092800;-74.25264;45.26819
483;SOUS-BASSIN;47.672985;0.010277;5;856;0.342400;-74.24889;45.26627
484;SOUS-BASSIN;47.977520;0.007086;2;128;0.051200;-74.24384;45.27202
485;SOUS-BASSIN;48.615810;0.016985;5;168;0.067200;-74.24213;45.27223
486;SOUS-BASSIN;48.091789;0.008331;5;1738;0.695200;-74.23229;45.27128
487;SOUS-BASSIN;47.955254;0.015021;2;68;0.027200;-74.22819;45.27790
488;SOUS-BASSIN;47.696926;0.021777;5;71;0.028400;-74.22685;45.27870
489;SOUS-BASSIN;48.104069;0.009203;3;635;0.254000;-74.22624;45.27437
490;SOUS-BASSIN;48.426399;0.017057;3;1173;0.469200;-74.22125;45.27425
491;SOUS-BASSIN;48.302193;0.009141;4;1954;0.781600;-74.21456;45.27970
492;SOUS-BASSIN;48.745380;0.009959;5;766;0.306400;-74.21788;45.27557
493;SOUS-BASSIN;47.193565;0.006954;2;159;0.063600;-74.21486;45.28602
494;SOUS-BASSIN;46.862431;0.014619;4;22;0.008800;-74.21351;45.28726
495;SOUS-BASSIN;47.408756;0.016294;3;48;0.019200;-74.21284;45.28558
