RESUMER ZONES HYDROTEL VERSION;4.3.1.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE (ratio); ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
194;SOUS-BASSIN;70.186211;0.021588;3;9500;3.800000;-74.52072;45.29291
195;SOUS-BASSIN;66.375000;0.020301;6;72;0.028800;-74.53635;45.30334
196;SOUS-BASSIN;65.137253;0.006400;2;51;0.020400;-74.53685;45.30211
197;SOUS-BASSIN;75.179459;0.034824;7;10799;4.319600;-74.54567;45.31141
198;SOUS-BASSIN;71.442375;0.023330;4;6829;2.731600;-74.56032;45.29717
199;SOUS-BASSIN;73.683182;0.037526;6;1837;0.734800;-74.58069;45.30528
200;SOUS-BASSIN;71.828392;0.032969;2;1451;0.580400;-74.58393;45.29973
201;SOUS-BASSIN;74.742218;0.046865;5;803;0.321200;-74.58871;45.30985
202;SOUS-BASSIN;71.411148;0.040641;1;574;0.229600;-74.59266;45.31018
203;SOUS-BASSIN;77.114601;0.022919;5;16684;6.673600;-74.57107;45.31877
204;SOUS-BASSIN;69.042908;0.033612;7;303;0.121200;-74.59343;45.30633
205;SOUS-BASSIN;75.868340;0.035745;3;1314;0.525600;-74.59220;45.30164
206;SOUS-BASSIN;72.764221;0.043313;5;844;0.337600;-74.59936;45.31309
207;SOUS-BASSIN;79.067543;0.027972;2;5789;2.315600;-74.61530;45.30753
208;SOUS-BASSIN;74.617836;0.035265;4;471;0.188400;-74.59898;45.31993
209;SOUS-BASSIN;73.963364;0.028679;2;928;0.371200;-74.60559;45.31941
210;SOUS-BASSIN;70.103897;0.005960;5;77;0.030800;-74.60198;45.32488
211;SOUS-BASSIN;71.276993;0.011394;1;426;0.170400;-74.60582;45.32316
212;SOUS-BASSIN;72.563026;0.024992;5;476;0.190400;-74.59991;45.33065
213;SOUS-BASSIN;74.501495;0.037109;8;670;0.268000;-74.60328;45.33091
214;SOUS-BASSIN;75.971687;0.023932;7;4450;1.780000;-74.60490;45.33801
215;SOUS-BASSIN;74.326378;0.038009;7;959;0.383600;-74.61103;45.32859
216;SOUS-BASSIN;76.722275;0.019050;3;6132;2.452800;-74.61848;45.31769
217;SOUS-BASSIN;81.757233;0.022316;5;9363;3.745200;-74.61984;45.35031
218;SOUS-BASSIN;78.789299;0.022350;1;5083;2.033200;-74.62541;45.34193
219;SOUS-BASSIN;82.957100;0.030621;3;676;0.270400;-74.63025;45.35020
220;SOUS-BASSIN;87.074699;0.025744;1;19411;7.764400;-74.65366;45.34063
221;SOUS-BASSIN;74.113945;0.035883;4;667;0.266800;-74.62422;45.32529
222;SOUS-BASSIN;72.477478;0.014542;8;444;0.177600;-74.63353;45.32566
223;SOUS-BASSIN;73.408333;0.037047;3;120;0.048000;-74.63217;45.32292
224;SOUS-BASSIN;84.119400;0.035819;8;10687;4.274800;-74.66069;45.32750
225;SOUS-BASSIN;81.235840;0.025394;4;9871;3.948400;-74.66906;45.31441
226;SOUS-BASSIN;94.616920;0.037090;8;9455;3.782000;-74.70115;45.31668
227;SOUS-BASSIN;86.629265;0.040909;3;3458;1.383200;-74.70321;45.30814
228;SOUS-BASSIN;93.226898;0.039861;8;4328;1.731200;-74.73417;45.29429
229;SOUS-BASSIN;92.051964;0.030366;4;6851;2.740400;-74.73157;45.28561
230;SOUS-BASSIN;94.483368;0.036983;5;1413;0.565200;-74.74706;45.28909
231;SOUS-BASSIN;94.981972;0.025356;2;2219;0.887600;-74.75406;45.28345
232;SOUS-BASSIN;96.058823;0.028548;8;2193;0.877200;-74.75949;45.29332
233;SOUS-BASSIN;93.850426;0.025195;4;2126;0.850400;-74.76045;45.28550
234;SOUS-BASSIN;103.397346;0.024151;8;4593;1.837200;-74.76933;45.29698
235;SOUS-BASSIN;92.142387;0.018200;1;302;0.120800;-74.77101;45.28807
236;SOUS-BASSIN;107.738319;0.018905;8;1177;0.470800;-74.77901;45.29439
237;SOUS-BASSIN;90.736839;0.009968;8;57;0.022800;-74.76996;45.28563
238;SOUS-BASSIN;98.335472;0.020244;4;1401;0.560400;-74.76640;45.27804
239;SOUS-BASSIN;106.798294;0.017658;8;1175;0.470000;-74.78183;45.29171
240;SOUS-BASSIN;97.924019;0.020983;1;408;0.163200;-74.77705;45.28697
241;SOUS-BASSIN;109.128738;0.016398;1;435;0.174000;-74.78595;45.29034
242;SOUS-BASSIN;97.215797;0.034523;8;899;0.359600;-74.77808;45.28333
243;SOUS-BASSIN;98.708344;0.019853;4;3343;1.337200;-74.77341;45.27505
244;SOUS-BASSIN;108.471466;0.017544;7;1139;0.455600;-74.78794;45.28755
245;SOUS-BASSIN;106.624870;0.018113;1;1970;0.788000;-74.78861;45.28362
246;SOUS-BASSIN;113.968590;0.006825;1;764;0.305600;-74.79740;45.28761
247;SOUS-BASSIN;96.104759;0.022677;1;105;0.042000;-74.78359;45.27803
248;SOUS-BASSIN;96.650002;0.046390;4;100;0.040000;-74.78191;45.27657
