ETATS ACHEMINEMENT RIVIERE MILIEUX HUMIDES RIVERAIN;ONDE CINEMATIQUE MODIFIEE( 4.3.6.0033 )
DATE_HEURE;2020-07-01 00:00

TRONCON;WET V;WET A;WET D;OCM QAMONT 1;OCM QAPPORTLAT 1;OCM QAVAL 1;OCM QAMONT 2;OCM QAPPORTLAT 2;OCM QAVAL 2;OCM QAMONT 3;OCM QAPPORTLAT 3;OCM QAVAL 3
98;0.001000000047;215.360168457031;0.000004643383;0.041745450348;0.003320782911;0.046737644821;0.046737644821;0.000741932192;0.047479577363;0.047479577363;0.000000000000;0.047479577363
99;0.001000000047;302.147674560547;0.000003309639;0.032539352775;0.002199223032;0.035261277109;0.035261277109;0.000713111483;0.035974387079;0.035974387079;0.000000000000;0.035974387079
100;0.001000000047;1204.176391601562;0.000000830443;0.030392823741;0.000257951004;0.030723486096;0.030723486096;0.001122148125;0.031845636666;0.031845636666;0.000257951004;0.032192129642
101;0.001000000047;202.956222534180;0.000004927170;0.024882810190;0.000725203485;0.025674676523;0.025674676523;0.000098972421;0.025773650035;0.025773650035;0.000000000000;0.025773650035
102;0.001000000047;762.536071777344;0.000001311413;0.022379476577;0.000039652947;0.022424671799;0.022424671799;0.000832212856;0.023256884888;0.023256884888;0.000039652947;0.023302141577
103;522.548767089844;5377.398925781250;0.097175009549;0.000000000000;0.003707224270;0.003707224037;0.003707224037;0.000895700417;0.004602924455;0.004602924455;0.000000000000;0.004602924455
104;0.001000000047;55.249362945557;0.000018099754;0.017513833940;0.000240632449;0.017767794430;0.017767794430;0.000008757410;0.017776552588;0.017776552588;0.000000000000;0.017776552588
105;0.098172158003;887.417663574219;0.000110626781;0.000000000000;0.000187249621;0.000187249607;0.000187249607;0.000026962196;0.000214211803;0.000214211803;-0.000000000000;0.000214211803
106;0.001000000047;415.895050048828;0.000002404453;0.016637660563;0.000184240082;0.016822246835;0.016822246835;0.000271116063;0.017093362287;0.017093362287;0.000184240082;0.017299622297
107;0.396000951529;5302.948730468750;0.000074675612;0.000000000000;0.000057442005;0.000057442005;0.000057442005;0.000679661578;0.000737103634;0.000737103634;0.000057442005;0.000794545631
108;0.001000000047;102.852210998535;0.000009722687;0.015754839405;0.000002313025;0.015754029155;0.015754029155;0.000063668136;0.015817696229;0.015817696229;0.000002313025;0.015843115747
109;1.519286632538;604.405090332031;0.002513689455;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000034455858;0.000034455854;0.000034455854;0.000000000000;0.000034455854
110;0.001000000047;990.598815917969;0.000001009490;0.014482719824;0.000405683968;0.014868036844;0.014868036844;0.000852346187;0.015720384195;0.015720384195;0.000000000000;0.015720384195
111;0.001000000047;221.702423095703;0.000004510550;0.000893734628;0.000000226861;0.000893957505;0.000893957505;0.000132656845;0.001026614336;0.001026614336;0.000000226861;0.000987673411
112;1.079467535019;4846.011718750000;0.000222753821;0.000000000000;0.000016091893;0.000016091893;0.000016091893;0.000559902168;0.000575994083;0.000575994083;0.000016091893;0.000592085999
113;0.074172794819;1413.484130859375;0.000052475149;0.000107784792;0.000023332459;0.000131117253;0.000131117253;0.000147198924;0.000278316176;0.000278316176;0.000023332459;0.000301648630
116;0.001000000047;95.732276916504;0.000010445798;0.013472636230;0.000001108262;0.013474873267;0.013474873267;0.000017926794;0.013492800295;0.013492800295;0.000001108262;0.013495046645
117;0.067113116384;989.401489257812;0.000067832028;0.000000000000;0.000235758926;0.000235758926;0.000235758926;0.000134556234;0.000370315160;0.000370315160;0.000000000000;0.000370315160
118;0.001000000047;57.678936004639;0.000017337348;0.012972489931;0.000087454893;0.013078375719;0.013078375719;0.000023944629;0.013102320954;0.013102320954;0.000000000000;0.013102320954
120;0.373747646809;5469.603027343750;0.000068331763;0.007615466602;0.002270617057;0.009937340394;0.009937340394;0.001221414655;0.011158755049;0.011158755049;0.000000000000;0.011158755049
121;0.737751960754;12891.020507812500;0.000057229914;0.001601060154;0.000000000000;0.001601060154;0.001601060154;0.000601131236;0.002202191390;0.002202191390;0.000579513435;0.004105320200
122;0.580178022385;11010.987304687500;0.000052690826;0.000000000000;0.000676163530;0.000676163472;0.000676163472;0.000415051618;0.001091215061;0.001091215061;0.000000000000;0.001091215061
123;0.049338601530;1080.876586914062;0.000045646841;0.000229266647;0.000037352056;0.000266654213;0.000266654213;0.000038690188;0.000305344380;0.000305344380;0.000149198997;0.000509845035
128;0.070380516350;597.927429199219;0.000117707452;0.000739392824;0.000000000000;0.000739392824;0.000739392824;0.000076266151;0.000815659005;0.000815659005;0.000110491383;0.000899207778
129;0.038902819157;1021.416687011719;0.000038087121;0.000000000000;0.000000450476;0.000000450476;0.000000450476;0.000012933313;0.000013383789;0.000013383789;0.000000450476;0.000073531148
130;0.470301181078;5461.411132812500;0.000086113483;0.000000000000;0.000095916708;0.000095916708;0.000095916708;0.000154845329;0.000250762037;0.000250762037;0.000095916708;0.000665861706
131;0.170786336064;2253.929443359375;0.000075772703;0.000000000000;0.000665641099;0.000665641215;0.000665641215;0.000129346969;0.000794988184;0.000794988184;0.000665641099;0.001580668264
132;0.001000000047;350.261352539062;0.000002855011;0.004127386492;0.000035896439;0.004163285717;0.004163285717;0.000419987249;0.004583273083;0.004583273083;0.000035896439;0.004619173240
133;1.200729727745;4389.840332031250;0.000273524696;0.000000000000;0.000016045098;0.000016045096;0.000016045096;0.000537831627;0.000553876744;0.000553876744;0.000016045098;0.000569922267
134;1.919349670410;23857.400390625000;0.000080450918;0.000963732018;0.000030196517;0.000993928523;0.000993928523;0.001362587209;0.002356515732;0.002356515732;0.000030196517;0.003557464341
135;0.050377201289;1008.998596191406;0.000049927916;0.000000000000;0.000379895966;0.000379896053;0.000379896053;0.000145950224;0.000525846321;0.000525846321;0.000379895966;0.000905742287
136;0.040829174221;748.302551269531;0.000054562384;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000057989764;0.000057989761;0.000057989761;0.000000000000;0.000057989761
137;0.001000000047;447.994934082031;0.000002232168;0.000000000000;0.000107634936;0.000107635758;0.000107635758;0.000192675041;0.000300310814;0.000300310814;0.000107634936;0.000347224472
138;0.148336946964;1297.566894531250;0.000114319308;0.004848203156;0.000254209677;0.005130867008;0.005130867008;0.000357387937;0.005488255061;0.005488255061;0.000254209677;0.005771061871
139;0.001000000047;391.211273193359;0.000002556163;0.000000000000;0.000099853460;0.000099864948;0.000099864948;0.000214798973;0.000314663921;0.000314663921;0.000099853460;0.000337372709
140;10.402765274048;7798.423339843750;0.001333957422;0.003137846244;0.000113981230;0.003252892988;0.003252892988;0.001135568251;0.004388460889;0.004388460889;0.000113981230;0.004510830622
142;0.152085512877;105.803230285645;0.001437437255;0.000879067229;0.000000000000;0.000879067229;0.000879067229;0.000010463196;0.000889530405;0.000889530405;0.000026869653;0.000919084239
144;0.115577280521;605.843322753906;0.000190770908;0.000357984129;0.000002789509;0.000360753882;0.000360753882;0.000052266703;0.000413020578;0.000413020578;0.000002789509;0.000415812247
145;0.127953261137;1900.165649414062;0.000067337947;0.000000000000;0.000001419857;0.000001419857;0.000001419857;0.000281472283;0.000282892142;0.000282892142;0.000001419857;0.000284329697
146;0.027620900422;390.991973876953;0.000070643138;0.000000000000;0.000024510206;0.000024510206;0.000024510206;0.000024634024;0.000049144226;0.000049144226;0.000024510206;0.000073654424
147;0.213636040688;471.050750732422;0.000453530811;0.000000000000;0.000077192490;0.000077192504;0.000077192504;0.000056415982;0.000133608497;0.000133608497;0.000040664996;0.000175378125
149;7.496908187866;15447.974609375000;0.000485300436;0.000000000000;0.008108881302;0.008183034137;0.008183034137;0.002732926747;0.010915961117;0.010915961117;0.000000000000;0.010915961117
150;298.289642333984;5271.217773437500;0.056588381529;0.096126422286;0.003098258516;0.099557302892;0.099557302892;0.000930306502;0.100487612188;0.100487612188;0.001752203098;0.102428510785
152;0.666374206543;11351.018554687500;0.000058706111;0.074097268283;0.000063694679;0.074167191982;0.074167191982;0.003037746996;0.077204942703;0.077204942703;0.000063694679;0.077274769545
154;0.001000000047;431.910980224609;0.000002315292;0.058189999312;0.000000000000;0.058189999312;0.058189999312;0.000121815523;0.058311812580;0.058311812580;0.000000000000;0.058311812580
155;0.001000000047;891.189514160156;0.000001122096;0.001356607885;0.000000000000;0.001356607885;0.001356607885;0.001285632607;0.002642240375;0.002642240375;0.000000000000;0.002642240375
157;0.424779862165;3802.330078125000;0.000111715679;0.000000000000;0.000000000000;0.000000000000;0.000000000000;0.000417896954;0.000417896954;0.000417896954;0.000000000000;0.000417896954
