PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;DEGRE JOUR BANDE

CLASSE INTEGRE CONIFERES;
CLASSE INTEGRE FEUILLUS;

NOM FICHIER STATION NEIGE CONIFERS;
NOM FICHIER STATION NEIGE FEUILLUS;
NOM FICHIER STATION NEIGE DECOUVERTS;

INTERPOLATION STATION NEIGE CONIFERS;
INTERPOLATION STATION NEIGE FEUILLUS;
INTERPOLATION STATION NEIGE DECOUVERTS;

HAUTEUR BANDE(m);100

UHRH ID;TAUX DE FONTE (mm/jour);DENSITE MAXIMALE (Kg/m3);CONSTANTE TASSEMENT;SEUIL FONTE CONIFERS (C);SEUIL FONTE FEUILLUS (C);SEUIL FONTE DECOUVERTS (C);TAUX FONTE CONIFERS (mm/jour.C);TAUX FONTE FEUILLUS (mm/jour.C);TAUX FONTE DECOUVERTS (mm/jour.C);SEUIL ALBEDO
91;0.5;550;0.1;0;0;0;12;14;16;1
92;0.5;550;0.1;0;0;0;12;14;16;1
93;0.5;550;0.1;0;0;0;12;14;16;1
94;0.5;550;0.1;0;0;0;12;14;16;1
95;0.5;550;0.1;0;0;0;12;14;16;1
96;0.5;550;0.1;0;0;0;12;14;16;1
97;0.5;550;0.1;0;0;0;12;14;16;1
98;0.5;550;0.1;0;0;0;12;14;16;1
99;0.5;550;0.1;0;0;0;12;14;16;1
100;0.5;550;0.1;0;0;0;12;14;16;1
101;0.5;550;0.1;0;0;0;12;14;16;1
102;0.5;550;0.1;0;0;0;12;14;16;1
103;0.5;550;0.1;0;0;0;12;14;16;1
104;0.5;550;0.1;0;0;0;12;14;16;1
105;0.5;550;0.1;0;0;0;12;14;16;1
106;0.5;550;0.1;0;0;0;12;14;16;1
107;0.5;550;0.1;0;0;0;12;14;16;1
108;0.5;550;0.1;0;0;0;12;14;16;1
109;0.5;550;0.1;0;0;0;12;14;16;1
110;0.5;550;0.1;0;0;0;12;14;16;1
111;0.5;550;0.1;0;0;0;12;14;16;1
112;0.5;550;0.1;0;0;0;12;14;16;1
113;0.5;550;0.1;0;0;0;12;14;16;1
114;0.5;550;0.1;0;0;0;12;14;16;1
115;0.5;550;0.1;0;0;0;12;14;16;1
116;0.5;550;0.1;0;0;0;12;14;16;1
117;0.5;550;0.1;0;0;0;12;14;16;1
118;0.5;550;0.1;0;0;0;12;14;16;1
119;0.5;550;0.1;0;0;0;12;14;16;1
120;0.5;550;0.1;0;0;0;12;14;16;1
121;0.5;550;0.1;0;0;0;12;14;16;1
122;0.5;550;0.1;0;0;0;12;14;16;1
123;0.5;550;0.1;0;0;0;12;14;16;1
124;0.5;550;0.1;0;0;0;12;14;16;1
125;0.5;550;0.1;0;0;0;12;14;16;1
126;0.5;550;0.1;0;0;0;12;14;16;1
127;0.5;550;0.1;0;0;0;12;14;16;1
128;0.5;550;0.1;0;0;0;12;14;16;1
129;0.5;550;0.1;0;0;0;12;14;16;1
130;0.5;550;0.1;0;0;0;12;14;16;1
131;0.5;550;0.1;0;0;0;12;14;16;1
132;0.5;550;0.1;0;0;0;12;14;16;1
133;0.5;550;0.1;0;0;0;12;14;16;1
134;0.5;550;0.1;0;0;0;12;14;16;1
135;0.5;550;0.1;0;0;0;12;14;16;1
136;0.5;550;0.1;0;0;0;12;14;16;1
137;0.5;550;0.1;0;0;0;12;14;16;1
138;0.5;550;0.1;0;0;0;12;14;16;1
139;0.5;550;0.1;0;0;0;12;14;16;1
140;0.5;550;0.1;0;0;0;12;14;16;1
141;0.5;550;0.1;0;0;0;12;14;16;1
142;0.5;550;0.1;0;0;0;12;14;16;1
143;0.5;550;0.1;0;0;0;12;14;16;1
144;0.5;550;0.1;0;0;0;12;14;16;1
145;0.5;550;0.1;0;0;0;12;14;16;1
146;0.5;550;0.1;0;0;0;12;14;16;1
147;0.5;550;0.1;0;0;0;12;14;16;1
148;0.5;550;0.1;0;0;0;12;14;16;1
149;0.5;550;0.1;0;0;0;12;14;16;1
150;0.5;550;0.1;0;0;0;12;14;16;1
151;0.5;550;0.1;0;0;0;12;14;16;1
152;0.5;550;0.1;0;0;0;12;14;16;1
153;0.5;550;0.1;0;0;0;12;14;16;1
154;0.5;550;0.1;0;0;0;12;14;16;1
155;0.5;550;0.1;0;0;0;12;14;16;1
156;0.5;550;0.1;0;0;0;12;14;16;1
