PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;LINACRE

UHRH ID; TEMPERATURE MOIS PLUS FROID (C); TEMPERATURE MOIS PLUS CHAUD (C); ALBEDO (0.23 SURFACE REFERENCE); COEFFICIENT MULTIPLICATIF OPTIMISATION
176;-10;20;0.23;1
177;-10;20;0.23;1
178;-10;20;0.23;1
179;-10;20;0.23;1
180;-10;20;0.23;1
181;-10;20;0.23;1
182;-10;20;0.23;1
183;-10;20;0.23;1
184;-10;20;0.23;1
185;-10;20;0.23;1
186;-10;20;0.23;1
187;-10;20;0.23;1
188;-10;20;0.23;1
189;-10;20;0.23;1
190;-10;20;0.23;1
191;-10;20;0.23;1
192;-10;20;0.23;1
193;-10;20;0.23;1
194;-10;20;0.23;1
195;-10;20;0.23;1
196;-10;20;0.23;1
197;-10;20;0.23;1
198;-10;20;0.23;1
199;-10;20;0.23;1
200;-10;20;0.23;1
201;-10;20;0.23;1
202;-10;20;0.23;1
203;-10;20;0.23;1
204;-10;20;0.23;1
205;-10;20;0.23;1
206;-10;20;0.23;1
207;-10;20;0.23;1
208;-10;20;0.23;1
209;-10;20;0.23;1
210;-10;20;0.23;1
211;-10;20;0.23;1
212;-10;20;0.23;1
213;-10;20;0.23;1
214;-10;20;0.23;1
215;-10;20;0.23;1
216;-10;20;0.23;1
217;-10;20;0.23;1
218;-10;20;0.23;1
219;-10;20;0.23;1
220;-10;20;0.23;1
221;-10;20;0.23;1
222;-10;20;0.23;1
223;-10;20;0.23;1
224;-10;20;0.23;1
225;-10;20;0.23;1
226;-10;20;0.23;1
227;-10;20;0.23;1
228;-10;20;0.23;1
229;-10;20;0.23;1
230;-10;20;0.23;1
231;-10;20;0.23;1
232;-10;20;0.23;1
233;-10;20;0.23;1
234;-10;20;0.23;1
235;-10;20;0.23;1
236;-10;20;0.23;1
237;-10;20;0.23;1
238;-10;20;0.23;1
239;-10;20;0.23;1
240;-10;20;0.23;1
241;-10;20;0.23;1
242;-10;20;0.23;1
243;-10;20;0.23;1
244;-10;20;0.23;1
245;-10;20;0.23;1
246;-10;20;0.23;1
247;-10;20;0.23;1
248;-10;20;0.23;1
249;-10;20;0.23;1
250;-10;20;0.23;1
251;-10;20;0.23;1
252;-10;20;0.23;1
253;-10;20;0.23;1
254;-10;20;0.23;1
255;-10;20;0.23;1
256;-10;20;0.23;1
257;-10;20;0.23;1
258;-10;20;0.23;1
259;-10;20;0.23;1
260;-10;20;0.23;1
261;-10;20;0.23;1
262;-10;20;0.23;1
263;-10;20;0.23;1
264;-10;20;0.23;1
265;-10;20;0.23;1
