IdUhrh;Annee;Mois;Jour;Heure;Apport (mm);Evp (mm);Wetsep (m3);Wetvol (m3);Wetflwi (m3);Wetflwo (m3);Wetprod (mm)
26;2020;2;5;0;0.00;0.24;171.82263;39.01033;170.36707;0.00000;0.42
2;2020;2;6;0;0.00;0.37;442.12128;7430.10547;161.63324;29.12285;0.59
4;2020;2;6;0;0.00;0.37;36.71555;11.13982;25.40360;0.00000;0.14
11;2020;2;6;0;0.00;0.37;76.16349;13.39128;73.96095;0.00000;0.21
13;2020;2;6;0;0.00;0.37;36.25137;58.82545;11.94640;0.00000;0.04
17;2020;2;6;0;0.00;0.37;76.44896;1462.09937;44.20562;34.45548;0.18
19;2020;2;6;0;0.00;0.37;0.32359;0.04459;0.31391;0.00000;0.00
26;2020;2;6;0;0.00;0.37;166.67256;34.81139;165.53580;0.00000;0.40
2;2020;2;7;0;0.00;0.13;435.59805;7141.97803;150.19484;0.00000;0.55
4;2020;2;7;0;0.00;0.13;28.32959;6.91952;24.28646;0.00000;0.11
11;2020;2;7;0;0.00;0.13;69.98803;13.57701;70.61146;0.00000;0.19
13;2020;2;7;0;0.00;0.13;31.97259;38.10449;11.45159;0.00000;0.03
17;2020;2;7;0;0.00;0.13;75.22339;1399.91260;41.05302;27.54585;0.17
19;2020;2;7;0;0.00;0.13;0.29087;0.05419;0.30228;0.00000;0.00
26;2020;2;7;0;0.00;0.13;160.06909;32.85538;159.11415;0.00000;0.39
2;2020;2;8;0;0.00;0.14;429.52518;6849.94287;140.51593;0.00000;0.54
4;2020;2;8;0;0.00;0.14;23.92376;5.90257;23.07536;0.00000;0.09
11;2020;2;8;0;0.00;0.14;70.33108;10.14482;67.39436;0.00000;0.19
13;2020;2;8;0;0.00;0.14;27.40516;21.53268;11.02641;0.00000;0.03
17;2020;2;8;0;0.00;0.14;74.07169;1342.49805;38.34537;21.16644;0.16
19;2020;2;8;0;0.00;0.14;0.31171;0.02929;0.28900;0.00000;0.00
26;2020;2;8;0;0.00;0.14;156.81667;28.24139;153.30742;0.00000;0.38
2;2020;2;9;0;0.00;0.55;423.20642;6546.63037;131.46562;0.00000;0.53
4;2020;2;9;0;0.00;0.55;22.61120;4.32576;21.65265;0.00000;0.09
11;2020;2;9;0;0.00;0.55;63.41924;9.26165;64.27015;0.00000;0.17
13;2020;2;9;0;0.00;0.55;22.37898;9.14847;10.60668;0.00000;0.02
17;2020;2;9;0;0.00;0.55;72.97871;1288.13000;35.73182;15.12556;0.15
19;2020;2;9;0;0.00;0.55;0.25054;0.05138;0.27948;0.00000;0.00
26;2020;2;9;0;0.00;0.55;148.61502;22.66722;147.10448;0.00000;0.36
2;2020;2;10;0;0.00;0.52;416.45700;6242.37500;122.93053;0.00000;0.52
4;2020;2;10;0;0.00;0.52;20.24924;3.85086;20.29601;0.00000;0.08
11;2020;2;10;0;0.00;0.52;61.40155;6.78344;60.50518;0.00000;0.17
13;2020;2;10;0;0.00;0.52;16.51491;2.41661;10.20852;0.00000;0.02
17;2020;2;10;0;0.00;0.52;71.91556;1238.05249;33.25203;9.56139;0.14
19;2020;2;10;0;0.00;0.52;0.30500;0.00000;0.26150;0.00000;0.00
26;2020;2;10;0;0.00;0.52;137.45688;22.10854;140.43938;0.00000;0.33
2;2020;2;11;0;0.00;0.85;409.48068;5930.69189;115.09972;0.00000;0.51
4;2020;2;11;0;0.00;0.85;19.43036;2.50518;18.90568;0.00000;0.08
11;2020;2;11;0;0.00;0.85;54.97593;6.39315;56.90857;0.00000;0.15
13;2020;2;11;0;0.00;0.85;10.29549;1.50789;9.82179;0.00000;0.01
17;2020;2;11;0;0.00;0.85;70.91039;1190.79443;30.95897;4.31049;0.13
19;2020;2;11;0;0.00;0.85;0.00000;0.26321;0.26321;0.00000;0.00
26;2020;2;11;0;0.00;0.85;136.24454;12.94736;132.84019;0.00000;0.33
2;2020;2;12;0;0.00;0.53;402.10278;5625.83789;107.94527;0.00000;0.50
4;2020;2;12;0;0.00;0.53;16.68013;3.10103;17.71969;0.00000;0.06
11;2020;2;12;0;0.00;0.53;53.83157;4.38316;53.25356;0.00000;0.15
13;2020;2;12;0;0.00;0.53;8.70830;1.84535;9.27742;0.00000;0.01
17;2020;2;12;0;0.00;0.53;69.93747;1147.88550;28.88901;0.00000;0.12
19;2020;2;12;0;0.00;0.53;0.46833;0.00000;0.21965;0.00000;0.00
26;2020;2;12;0;0.00;0.53;112.67544;24.08685;126.81223;0.00000;0.27
2;2020;2;13;0;0.00;0.79;394.64044;5317.27734;101.72972;0.00000;0.50
4;2020;2;13;0;0.00;0.79;17.99261;0.89317;16.49826;0.00000;0.07
11;2020;2;13;0;0.00;0.79;47.08102;5.74078;50.30566;0.00000;0.13
13;2020;2;13;0;0.00;0.79;9.35554;0.82352;8.70471;0.00000;0.01
17;2020;2;13;0;0.00;0.79;69.03228;1103.18689;27.07114;0.00000;0.11
19;2020;2;13;0;0.00;0.79;0.00000;0.23387;0.23387;0.00000;0.00
26;2020;2;13;0;0.00;0.79;137.01483;0.00000;118.49771;0.00000;0.33
2;2020;2;14;0;0.00;0.27;386.81680;5021.47900;96.27248;0.00000;0.49
4;2020;2;14;0;0.00;0.27;11.56652;4.94779;15.77824;0.00000;0.04
11;2020;2;14;0;0.00;0.27;51.81361;0.53405;47.31064;0.00000;0.14
13;2020;2;14;0;0.00;0.27;7.02558;1.99648;8.29396;0.00000;0.01
17;2020;2;14;0;0.00;0.27;68.06580;1059.70581;25.50922;0.00000;0.11
19;2020;2;14;0;0.00;0.27;0.42423;0.00000;0.19748;0.00000;0.00
26;2020;2;14;0;0.00;0.27;0.00000;119.62232;119.62232;0.00000;0.00
2;2020;2;15;0;0.00;0.99;379.03680;4715.09277;91.43492;0.00000;0.48
4;2020;2;15;0;0.00;0.99;18.35166;0.00000;14.45642;0.00000;0.07
