IdUhrh;Annee;Mois;Jour;Heure;Apport (mm);Evp (mm);Wetsep (m3);Wetvol (m3);Wetflwi (m3);Wetflwo (m3);Wetprod (mm)
26;2020;2;4;0;0.00;0.63;177.76338;43.90799;180.50467;0.00000;0.43
2;2020;2;5;0;0.00;0.24;460.25375;8263.75000;174.50212;121.75000;0.73
4;2020;2;5;0;0.00;0.24;55.25136;43.06793;25.84082;0.00000;0.21
11;2020;2;5;0;0.00;0.24;78.60262;17.01553;77.97846;0.00000;0.22
13;2020;2;5;0;0.00;0.24;44.80359;119.08575;12.23884;0.00000;0.05
17;2020;2;5;0;0.00;0.24;77.72234;1530.20276;47.77322;42.02253;0.20
19;2020;2;5;0;0.00;0.24;0.33515;0.05551;0.32815;0.00000;0.00
26;2020;2;5;0;0.00;0.24;173.81903;38.24252;170.21344;0.00000;0.42
2;2020;2;6;0;0.00;0.37;452.35529;7884.64746;161.19136;79.62749;0.67
4;2020;2;6;0;0.00;0.37;45.78376;21.18328;24.74027;0.00000;0.18
11;2020;2;6;0;0.00;0.37;76.19911;13.37487;73.95842;0.00000;0.21
13;2020;2;6;0;0.00;0.37;41.06829;88.95123;11.68830;0.00000;0.04
17;2020;2;6;0;0.00;0.37;76.44896;1462.09937;44.20562;34.45548;0.18
19;2020;2;6;0;0.00;0.37;0.31437;0.04992;0.31456;0.00000;0.00
26;2020;2;6;0;0.00;0.37;165.50061;35.32449;165.62323;0.00000;0.40
2;2020;2;7;0;0.00;0.13;444.87695;7544.93018;149.82320;41.88115;0.61
4;2020;2;7;0;0.00;0.13;35.58938;9.16205;23.79073;0.00000;0.14
11;2020;2;7;0;0.00;0.13;69.95757;13.59332;70.61352;0.00000;0.19
13;2020;2;7;0;0.00;0.13;37.02779;62.88869;11.19683;0.00000;0.04
17;2020;2;7;0;0.00;0.13;75.22339;1399.91260;41.05302;27.54585;0.17
19;2020;2;7;0;0.00;0.13;0.30275;0.04677;0.30149;0.00000;0.00
26;2020;2;7;0;0.00;0.13;160.90265;32.47015;159.05458;0.00000;0.39
2;2020;2;8;0;0.00;0.14;437.97586;7236.46143;140.19978;7.60684;0.56
4;2020;2;8;0;0.00;0.14;26.43064;5.45992;22.91471;0.00000;0.10
11;2020;2;8;0;0.00;0.14;70.36104;10.12901;67.39242;0.00000;0.19
13;2020;2;8;0;0.00;0.14;32.73972;40.69098;10.77265;0.00000;0.03
17;2020;2;8;0;0.00;0.14;74.07169;1342.49805;38.34537;21.16644;0.16
19;2020;2;8;0;0.00;0.14;0.29582;0.03889;0.29002;0.00000;0.00
26;2020;2;8;0;0.00;0.14;156.16147;28.56103;153.35248;0.00000;0.38
2;2020;2;9;0;0.00;0.55;431.53372;6924.30322;131.17465;0.00000;0.54
4;2020;2;9;0;0.00;0.55;21.99409;4.55407;21.68962;0.00000;0.09
11;2020;2;9;0;0.00;0.55;63.38413;9.28405;64.27230;0.00000;0.17
13;2020;2;9;0;0.00;0.55;28.05157;22.22501;10.35262;0.00000;0.03
17;2020;2;9;0;0.00;0.55;72.97871;1288.13000;35.73182;15.12556;0.15
19;2020;2;9;0;0.00;0.55;0.27707;0.03210;0.27785;0.00000;0.00
26;2020;2;9;0;0.00;0.55;149.20995;22.33655;147.06535;0.00000;0.36
2;2020;2;10;0;0.00;0.52;424.83157;6611.18457;122.65738;0.00000;0.53
4;2020;2;10;0;0.00;0.52;20.62235;3.67563;20.27519;0.00000;0.08
11;2020;2;10;0;0.00;0.52;61.45424;6.74877;60.50215;0.00000;0.17
13;2020;2;10;0;0.00;0.52;22.63180;8.96137;9.95121;0.00000;0.02
17;2020;2;10;0;0.00;0.52;71.91556;1238.05249;33.25203;9.56139;0.14
19;2020;2;10;0;0.00;0.52;0.25883;0.03084;0.26424;0.00000;0.00
26;2020;2;10;0;0.00;0.52;136.74167;22.55618;140.48405;0.00000;0.33
2;2020;2;11;0;0.00;0.85;417.91010;6290.45898;114.84277;0.00000;0.52
4;2020;2;11;0;0.00;0.85;19.11177;2.67852;18.92220;0.00000;0.07
11;2020;2;11;0;0.00;0.85;54.87601;6.46799;56.91394;0.00000;0.15
13;2020;2;11;0;0.00;0.85;16.39422;1.45557;9.58113;0.00000;0.02
17;2020;2;11;0;0.00;0.85;70.91039;1190.79443;30.95897;4.31049;0.13
19;2020;2;11;0;0.00;0.85;0.25517;0.01410;0.24922;0.00000;0.00
26;2020;2;11;0;0.00;0.85;137.21747;12.32350;132.78273;0.00000;0.33
2;2020;2;12;0;0.00;0.53;410.59760;5976.64209;107.70292;0.00000;0.52
4;2020;2;12;0;0.00;0.53;17.08100;2.84349;17.70035;0.00000;0.07
11;2020;2;12;0;0.00;0.53;54.05442;4.21801;53.24236;0.00000;0.15
13;2020;2;12;0;0.00;0.53;8.59983;1.90841;9.28143;0.00000;0.01
17;2020;2;12;0;0.00;0.53;69.93747;1147.88550;28.88901;0.00000;0.12
19;2020;2;12;0;0.00;0.53;0.19330;0.05354;0.23788;0.00000;0.00
26;2020;2;12;0;0.00;0.53;110.71741;25.58234;126.92147;0.00000;0.27
2;2020;2;13;0;0.00;0.79;403.20596;5658.94678;101.49986;0.00000;0.51
4;2020;2;13;0;0.00;0.79;17.44728;1.22717;16.52284;0.00000;0.07
11;2020;2;13;0;0.00;0.79;46.44351;6.26849;50.33572;0.00000;0.13
13;2020;2;13;0;0.00;0.79;9.46780;0.76596;8.70080;0.00000;0.01
17;2020;2;13;0;0.00;0.79;69.03228;1103.18689;27.07114;0.00000;0.11
19;2020;2;13;0;0.00;0.79;0.25997;0.00000;0.21874;0.00000;0.00
26;2020;2;13;0;0.00;0.79;138.22974;0.00000;118.33749;0.00000;0.33
2;2020;2;14;0;0.00;0.27;395.46332;5354.16504;96.05335;0.00000;0.50
4;2020;2;14;0;0.00;0.27;12.94729;3.82376;15.71974;0.00000;0.05
11;2020;2;14;0;0.00;0.27;52.77984;0.00000;47.23743;0.00000;0.15
13;2020;2;14;0;0.00;0.27;6.84716;2.12562;8.29983;0.00000;0.01
17;2020;2;14;0;0.00;0.27;68.06580;1059.70581;25.50922;0.00000;0.11
19;2020;2;14;0;0.00;0.27;0.00000;0.22167;0.22167;0.00000;0.00
26;2020;2;14;0;0.00;0.27;0.00000;119.62232;119.62232;0.00000;0.00
2;2020;2;15;0;0.00;0.99;387.76727;5038.40576;91.22521;0.00000;0.49
4;2020;2;15;0;0.00;0.99;17.39363;0.00000;14.53041;0.00000;0.07
