ETATS BILAN VERTICAL;BV3C2( 4.3.1.0000 )
DATE_HEURE;2020-01-01 00:00

UHRH;THETA 1;THETA 2;THETA 3;MH WETVOL
118;0.382131874561;0.384999990463;0.384999990463;-999.000000000000
119;0.382449448109;0.384999990463;0.384999990463;-999.000000000000
120;0.382669806480;0.384999990463;0.384999990463;-999.000000000000
121;0.383371472359;0.384999990463;0.384999990463;-999.000000000000
122;0.383140057325;0.384999990463;0.384999990463;-999.000000000000
123;0.383661836386;0.384999990463;0.384999990463;-999.000000000000
124;0.382778763771;0.384999990463;0.384999990463;-999.000000000000
125;0.382443666458;0.384999990463;0.384999990463;-999.000000000000
126;0.383412778378;0.384999990463;0.384999990463;-999.000000000000
127;0.382535159588;0.384999990463;0.384999990463;-999.000000000000
128;0.383669346571;0.384999990463;0.384999990463;-999.000000000000
129;0.382216632366;0.384999990463;0.384999990463;-999.000000000000
130;0.381729692221;0.384999990463;0.384999990463;-999.000000000000
131;0.382557600737;0.384999990463;0.384999990463;-999.000000000000
132;0.383267521858;0.384999990463;0.384999990463;-999.000000000000
133;0.382399201393;0.384999990463;0.384999990463;-999.000000000000
134;0.379532516003;0.384999990463;0.384999990463;-999.000000000000
135;0.383073717356;0.384999990463;0.384999990463;-999.000000000000
136;0.382854670286;0.384999990463;0.384999990463;-999.000000000000
137;0.383531808853;0.384999990463;0.384999990463;-999.000000000000
138;0.382480949163;0.384999990463;0.384999990463;-999.000000000000
139;0.382347881794;0.384999990463;0.384999990463;-999.000000000000
140;0.381600916386;0.384999990463;0.384999990463;-999.000000000000
141;0.382783770561;0.384999990463;0.384999990463;-999.000000000000
142;0.381295800209;0.384999990463;0.384999990463;-999.000000000000
143;0.381496816874;0.384999990463;0.384999990463;-999.000000000000
144;0.383442521095;0.384999990463;0.384999990463;-999.000000000000
145;0.381775915623;0.384999990463;0.384999990463;-999.000000000000
146;0.381504476070;0.384999990463;0.384999990463;-999.000000000000
147;0.382948040962;0.384999990463;0.384999990463;-999.000000000000
148;0.382444441319;0.384999990463;0.384999990463;-999.000000000000
149;0.382424682379;0.384999990463;0.384999990463;-999.000000000000
150;0.383081614971;0.384999990463;0.384999990463;-999.000000000000
151;0.383605539799;0.384999990463;0.384999990463;-999.000000000000
152;0.382353276014;0.384999990463;0.384999990463;-999.000000000000
153;0.382483541965;0.384999990463;0.384999990463;-999.000000000000
154;0.381775110960;0.384999990463;0.384999990463;-999.000000000000
155;0.381425023079;0.384999990463;0.384999990463;-999.000000000000
156;0.383079648018;0.384999990463;0.384999990463;-999.000000000000
157;0.381524264812;0.384999990463;0.384999990463;-999.000000000000
158;0.383448600769;0.384999990463;0.384999990463;11469.878906250000
159;0.381592690945;0.384999990463;0.384999990463;-999.000000000000
160;0.380697160959;0.384999990463;0.384999990463;-999.000000000000
161;0.382921397686;0.384999990463;0.384999990463;-999.000000000000
162;0.380267679691;0.384999990463;0.384999990463;-999.000000000000
163;0.383469581604;0.384999990463;0.384999990463;725.157409667969
164;0.383245229721;0.384999990463;0.384999990463;14102.713867187500
165;0.382362276316;0.384999990463;0.384999990463;1819.019165039062
166;0.383127272129;0.384999990463;0.384999990463;-999.000000000000
167;0.382288157940;0.384999990463;0.384999990463;9.425468444824
168;0.383148550987;0.384999990463;0.384999990463;-999.000000000000
169;0.383275210857;0.384999990463;0.384999990463;-999.000000000000
170;0.382260233164;0.384999990463;0.384999990463;5928.368164062500
171;0.382155090570;0.384999990463;0.384999990463;9.963083267212
172;0.401712864637;0.395058691502;0.426752209663;64.628532409668
173;0.403544306755;0.397724181414;0.442205458879;1109.042968750000
174;0.402171164751;0.395725697279;0.430109024048;58.891902923584
175;0.400718361139;0.393566787243;0.419328421354;-999.000000000000
176;0.412795782089;0.413932293653;0.467742413282;3525.346923828125
177;0.402595460415;0.396350055933;0.433388471603;-999.000000000000
178;0.403015077114;0.397695779800;0.445261478424;385.201477050781
179;0.382886290550;0.384999990463;0.384999990463;6365.015625000000
180;0.414225816727;0.417764574289;0.470290243626;621.548828125000
181;0.398080676794;0.390687644482;0.412784069777;102.808341979980
182;0.335434168577;0.330900400877;0.380486041307;188.429870605469
183;0.396664202213;0.388579905033;0.404953300953;0.000000000000
184;0.335398435593;0.330861002207;0.380656778812;870.967773437500
185;0.335422962904;0.330938726664;0.381511032581;727.233520507812
186;0.338486403227;0.336207956076;0.403707116842;-999.000000000000
187;0.333948910236;0.328684180975;0.364588379860;-999.000000000000
188;0.355210363865;0.372990787029;0.431305229664;-999.000000000000
189;0.335349351168;0.330796211958;0.379875004292;79.643211364746
190;0.335558086634;0.331084489822;0.381989389658;1925.429565429688
191;0.334704518318;0.329806894064;0.372357308865;1244.483764648438
192;0.335049033165;0.330332070589;0.376498639584;484.805725097656
193;0.333930641413;0.328672081232;0.364144772291;128.697845458984
194;0.334682077169;0.329780042171;0.372163742781;561.298889160156
195;0.333972692490;0.328741103411;0.364481776953;-999.000000000000
196;0.334975600243;0.330217331648;0.374981403351;-999.000000000000
197;0.333380907774;0.327855795622;0.358491867781;780.556274414062
198;0.334484577179;0.329693913460;0.373089909554;131.325195312500
199;0.332770854235;0.326954096556;0.352497220039;66.224807739258
200;0.332961350679;0.327711969614;0.361564457417;-999.000000000000
201;0.332657873631;0.326835125685;0.352671712637;-999.000000000000
